cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
61837-56-7,O=C(O)C=1C=C(C(=O)OCC)C(=CC1C(=O)O)N(=O)=O,189.94353249413643,232.37722866666664,0.53821,-0.64426,224.4720000000001,7.659523983903961,-9.490242650038,-2.1135082768335,7.376734373204501,4.563233158495161,0,2,1.1679,2,6,ok,False,20.11842453463656,1.2773837482502612,1.2773837482502612,17.61479839362927,22.62205067564385,18.18,0.5,1.0,0.8699322229605848,1.5216536435067323,21.395808282886822,1.9038719831163675,2.4824485263151033,0.7669331158066093,True,0.5553335225924232,0.8450252780141889
66421-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=C2)N(=O)=O)N(=O)=O,190.536077272946,323.182712,0.53519,-0.6549,278.0880000000001,11.06867026611598,-9.195815463797,-2.2784092702365,6.917406193560501,4.758208118878,0,1,2.1304,2,7,ok,False,20.117248980582293,1.2773837482502612,1.2773837482502612,17.613622839575,22.620875121589584,18.18,0.5,1.0,0.8697373705088685,1.5206311056651147,21.394632728832555,1.953434366594984,2.4824485263151033,0.7868982361115148,True,0.5383702093519168,0.8186624867039646
104825-37-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CS(=O)(=O)C=2C=CC=CC2)N(=O)=O,190.3159987166777,327.26303733333333,0.53635,-0.64736,285.14400000000006,9.006907150070994,-8.997172352932,-1.9845263116965,7.012646041235499,4.299293906022394,0,2,1.9651,2,6,ok,False,19.462792092854418,1.2773837482502612,1.2773837482502612,16.959165951847126,21.96641823386171,18.18,0.5,1.0,0.7299986377993569,0.9937994413991607,20.74017584110468,1.6424219624752454,2.4824485263151033,0.6616137031905446,True,0.6454983064980718,0.641495856421888
1898181-04-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C=2SC=CC2)N(=O)=O,191.2214625053384,305.00447,0.53653,-0.65022,261.56800000000004,9.968592726157487,-8.486686769394,-1.863979875925,6.622706893468999,4.044279088818352,0,2,2.4781000000000004,2,6,ok,False,19.115960941868618,1.2773837482502612,1.2773837482502612,16.612334800861326,21.61958708287591,18.18,0.5,1.0,0.6335581409062617,0.7569774028778964,20.39334469011888,1.5591325024946232,2.4824485263151033,0.6280623690550265,True,0.6740423478382699,0.5102348258963332
39995-15-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)N(=O)=O,190.1280485464319,300.4959813333333,0.53481,-0.65582,253.85600000000005,6.065199855734352,-9.1215283826105,-2.0857526640825,7.035775718528001,4.463017067499787,0,1,2.2222,2,5,ok,False,19.147807855638813,1.2773837482502612,1.2773837482502612,16.64418171463152,21.651433996646105,18.18,0.5,1.0,0.6429008192883264,0.7773032607715216,20.425191603889076,1.6863024868200998,2.4824485263151033,0.679290011029237,True,0.6303784541499988,0.48999522793090516
1008474-54-1,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.5816986276645,329.8108416666667,0.53569,-0.65046,262.1120000000001,5.7241151263754295,-9.346022309273,-2.6082112570425,6.7378110522305,5.302304377870504,0,2,1.7666000000000002,2,6,ok,False,19.711565130203738,1.2773837482502612,1.2773837482502612,17.207938989196446,22.21519127121103,18.18,0.5,1.0,0.7903282896651428,1.1830803257378026,20.988948878454,2.370708373270886,2.4824485263151033,0.9549879274999179,True,0.4017192000904731,0.47526608209816645
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,185.80155216459065,198.797335,0.53891,-0.63898,187.30400000000003,9.481184314208852,-9.789023657887,-2.428344001862,7.360679656025001,5.069643005428932,0,2,0.8994,2,6,ok,False,19.588753119787885,1.2773837482502612,1.2773837482502612,17.085126978780593,22.092379260795177,18.18,0.5,1.0,0.7615872131379252,1.087761924328299,20.866136868038147,2.3935019971081117,2.4824485263151033,0.9641698394693315,True,0.394702295965139,0.4293421289958374
61415-80-3,O=C(O)C=1C=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.4965203195005,325.0242296666667,0.53567,-0.65037,262.04800000000006,5.606733406360606,-9.324797428934,-2.483310999663,6.841486429271,5.09507057066401,0,2,1.7666000000000002,2,6,ok,False,19.18585223609724,1.2773837482502612,1.2773837482502612,16.68222609508995,21.689478377104532,18.18,0.5,1.0,0.6539498744450405,0.8019725989660369,20.463235984347502,2.108551520679692,2.4824485263151033,0.8493837831189932,True,0.48604561035136634,0.389795261349519
884740-33-4,O=C(O)C=1C=C2C(=O)C=3C=CC=4C=CC=CC4C3C(=O)C2=CC1C(=O)O,187.48564593815547,392.4623223333333,0.53491,-0.65292,281.63200000000006,2.9369238277490277,-7.8453144237655,-2.377186597968,5.468127825797501,4.777664790787041,0,2,3.0116000000000014,2,4,ok,False,18.756492309123885,1.2773837482502612,1.2773837482502612,16.252866168116594,21.260118450131177,18.18,0.5,1.0,0.5238751967935508,0.5487619473347779,20.033876057374147,1.7407148810231807,2.4824485263151033,0.7012088518939255,True,0.6115895728916388,0.3356170849896608
39995-20-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)N(=O)=O,190.78514044338615,299.6241043333334,0.53401,-0.65653,253.94400000000007,9.168382578186842,-9.0964939083645,-1.8359521493235,7.260541759040999,4.115339487422917,0,1,2.2222,2,5,ok,False,18.610249914737224,1.2773837482502612,1.2773837482502612,16.106623773729932,21.113876055744516,18.18,0.5,1.0,0.4782270311620654,0.4754868647088132,19.887633662987486,1.5638974391853844,2.4824485263151033,0.6299818194042486,True,0.6724166654171441,0.3197252920171529
