cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
61837-56-7,O=C(O)C=1C=C(C(=O)OCC)C(=CC1C(=O)O)N(=O)=O,189.94353249413643,232.37722866666664,0.53821,-0.64426,224.4720000000001,7.659523983903961,-9.490242650038,-2.1135082768335,7.376734373204501,4.563233158495161,0,2,1.1679,2,6,ok,False,20.15464384407796,1.5903930558487718,1.5903930558487718,17.03753073335177,23.27175695480415,18.18,0.5,1.0,0.8230937734982706,1.6265563352444241,21.74503689992673,1.9038719831163675,2.4824485263151033,0.7669331158066093,True,0.5553335225924232,0.9032812593463084
66421-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=C2)N(=O)=O)N(=O)=O,190.536077272946,323.182712,0.53519,-0.6549,278.0880000000001,11.06867026611598,-9.195815463797,-2.2784092702365,6.917406193560501,4.758208118878,0,1,2.1304,2,7,ok,False,20.159303787901916,1.684069883155964,1.684069883155964,16.85858746946765,23.46002010633618,18.18,0.5,1.0,0.8101393641034984,1.6552342162739901,21.84337367105788,1.953434366594984,2.4824485263151033,0.7868982361115148,True,0.5383702093519168,0.8911287915418841
104825-37-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CS(=O)(=O)C=2C=CC=CC2)N(=O)=O,190.3159987166777,327.26303733333333,0.53635,-0.64736,285.14400000000006,9.006907150070994,-8.997172352932,-1.9845263116965,7.012646041235499,4.299293906022394,0,2,1.9651,2,6,ok,False,19.49664292012776,1.5524587924731803,1.5524587924731803,16.453879599397784,22.539406240857733,18.18,0.5,1.0,0.7005669945792736,1.1114292182079146,21.04910171260094,1.6424219624752454,2.4824485263151033,0.6616137031905446,True,0.6454983064980718,0.7174256781456848
1898181-04-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C=2SC=CC2)N(=O)=O,191.2214625053384,305.00447,0.53653,-0.65022,261.56800000000004,9.968592726157487,-8.486686769394,-1.863979875925,6.622706893468999,4.044279088818352,0,2,2.4781000000000004,2,6,ok,False,19.1486915549414,1.531189536878052,1.531189536878052,16.147615209155855,22.149767900726946,18.18,0.5,1.0,0.6202343631412655,0.8735977431174746,20.679881091819453,1.5591325024946232,2.4824485263151033,0.6280623690550265,True,0.6740423478382699,0.5888418738371164
39995-15-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)N(=O)=O,190.1280485464319,300.4959813333333,0.53481,-0.65582,253.85600000000005,6.065199855734352,-9.1215283826105,-2.0857526640825,7.035775718528001,4.463017067499787,0,1,2.2222,2,5,ok,False,19.184981821040765,1.6152205332649165,1.6152205332649165,16.01920774875195,22.35075589332958,18.18,0.5,1.0,0.6227227367170689,0.9281086106631274,20.800202354305682,1.6863024868200998,2.4824485263151033,0.679290011029237,True,0.6303784541499988,0.5850596712731254
1008474-54-1,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.5816986276645,329.8108416666667,0.53569,-0.65046,262.1120000000001,5.7241151263754295,-9.346022309273,-2.6082112570425,6.7378110522305,5.302304377870504,0,2,1.7666000000000002,2,6,ok,False,19.75187636292468,1.7383133314086816,1.7383133314086816,16.344844839517826,23.158907886331534,18.18,0.5,1.0,0.7312568441242036,1.3572394190951307,21.49018969433336,2.370708373270886,2.4824485263151033,0.9549879274999179,True,0.4017192000904731,0.5452291337701544
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,185.80155216459065,198.797335,0.53891,-0.63898,187.30400000000003,9.481184314208852,-9.789023657887,-2.428344001862,7.360679656025001,5.069643005428932,0,2,0.8994,2,6,ok,False,19.622147607780796,1.6417076431647082,1.6417076431647082,16.404459754033834,22.83983546152776,18.18,0.5,1.0,0.7169764081948968,1.2310056117644401,21.263855250945504,2.3935019971081117,2.4824485263151033,0.9641698394693315,True,0.394702295965139,0.48588074130939507
61415-80-3,O=C(O)C=1C=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.4965203195005,325.0242296666667,0.53567,-0.65037,262.04800000000006,5.606733406360606,-9.324797428934,-2.483310999663,6.841486429271,5.09507057066401,0,2,1.7666000000000002,2,6,ok,False,19.22305163098984,1.6824558606481097,1.6824558606481097,15.925498738541204,22.520604523438475,18.18,0.5,1.0,0.6265664875922018,0.9773919757554514,20.905507491637948,2.108551520679692,2.4824485263151033,0.8493837831189932,True,0.48604561035136634,0.47505707940858627
884740-33-4,O=C(O)C=1C=C2C(=O)C=3C=CC=4C=CC=CC4C3C(=O)C2=CC1C(=O)O,187.48564593815547,392.4623223333333,0.53491,-0.65292,281.63200000000006,2.9369238277490277,-7.8453144237655,-2.377186597968,5.468127825797501,4.777664790787041,0,2,3.0116000000000014,2,4,ok,False,18.791825300521854,1.630777214837015,1.630777214837015,15.595560692632766,21.98808990841094,18.18,0.5,1.0,0.527334759867585,0.7080275888225616,20.422602515358868,1.7407148810231807,2.4824485263151033,0.7012088518939255,True,0.6115895728916388,0.4330222906434873
39995-20-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)N(=O)=O,190.78514044338615,299.6241043333334,0.53401,-0.65653,253.94400000000007,9.168382578186842,-9.0964939083645,-1.8359521493235,7.260541759040999,4.115339487422917,0,1,2.2222,2,5,ok,False,18.644095558565013,1.5606246946812865,1.5606246946812865,15.585327363605874,21.702863753524152,18.18,0.5,1.0,0.49082256207970437,0.6048117164875307,20.2047202532463,1.5638974391853844,2.4824485263151033,0.6299818194042486,True,0.6724166654171441,0.40668547760576457
